BBBank	info@bbbank.de	https://www.bbbank.de/impressum.html	
Commerzbank	info@commerzbank.com	https://www.commerzbank.de/hinweise/impressum/	Konzernadresse, keine eigene Privatkunden-Mail
finvesto	service@fnz.de	https://www.finvesto.de/impressum	FNZ Bank betreibt finvesto
GENO Broker	service@genobroker.de	https://www.genobroker.de/impressum	
JOE Broker	support@joebroker.de	https://www.joebroker.de/impressum	
Libertex	support@help.libertex.com	https://libertex.com/de/impressum	
maxblue	info.maxblue@db.com	https://www.maxblue.de/impressum.html	
Pax-Bank	info@pax-bkc.de	https://www.pax-bkc.de/impressum	
Santander	impressum@santander.de	https://www.santander.de/impressum/	einzige Adresse; am 16.09. kam nur eine automatische Antwort
Targobank	kontakt@targobank.de	https://www.targobank.de/de/service/impressum.html	
tradegate.direct	support@tradegate.direct	https://tradegate.direct/impressum	
WillBe	service@willbe-invest.com	https://willbe-invest.com/de/willbe/kontakt	
BSDEX	support@bsdex.de	https://www.bsdex.de/en/imprint/	
finanzen.net zero	service@finanzen-zero.net	https://www.finanzen.net/zero/impressum/	
flatex	info@flatex.de	https://www.flatex.de/impressum/	
justTRADE	service@justtrade.com	https://www.justtrade.com/impressum	laut Impressum für Kunden und Interessenten
Relai	hello@relai.app	https://relai.app/de/impressum/	
Scalable Capital	service@scalable.capital	https://de.scalable.capital/impressum	
Traders Place	kundenservice@tradersplace.de	https://www.tradersplace.de/service/service-tools/kontakt	
Berliner Volksbank	service@berliner-volksbank.de	https://www.berliner-volksbank.de/impressum.html	
DKB	impressum@dkb.de	https://www.dkb.de/ueber-uns/impressum	einzige Adresse auf dkb.de
EthikBank	hallo@ethikbank.de	https://www.ethikbank.de/impressum	
Hamburger Sparkasse	haspa@haspa.de	https://www.haspa.de/impressum	
HypoVereinsbank	info@unicredit.de	https://www.hypovereinsbank.de/hvb/footer/impressum	zweiter Versuch, am 16.09. keine Antwort
meine Bank	info@meinebank.de	https://www.meinebank.de/impressum.html	
PSD Bank Nürnberg	info@psd-nuernberg.de	https://www.psd-nuernberg.de/impressum.html	
Tomorrow	hello@tomorrow.one	https://www.tomorrow.one/de-DE/impressum/	
